"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2017";"0000";"16,8";"17,1";"16,8";"78,0";"79,0";"77,0";"13,0";"13,1";"13,0";"949,1";"949,1";"948,9";"1,1";"114,0";"1,7";"";"0,0"
"01/07/2017";"0100";"16,6";"16,9";"16,6";"77,0";"78,0";"76,0";"12,5";"13,0";"12,5";"949,4";"949,4";"949,1";"1,0";"99,0";"1,7";"";"0,0"
"01/07/2017";"0200";"16,9";"17,0";"16,5";"77,0";"78,0";"76,0";"12,7";"12,8";"12,5";"949,4";"949,5";"949,3";"1,1";"62,0";"1,9";"";"0,0"
"01/07/2017";"0300";"16,7";"16,8";"16,3";"77,0";"80,0";"76,0";"12,7";"12,8";"12,6";"949,6";"949,6";"949,4";"1,4";"100,0";"2,1";"";"0,0"
"01/07/2017";"0400";"16,5";"16,7";"15,8";"79,0";"82,0";"77,0";"12,8";"12,9";"12,6";"949,4";"949,6";"949,3";"1,1";"56,0";"2,2";"";"0,0"
"01/07/2017";"0500";"15,9";"16,9";"15,9";"83,0";"83,0";"77,0";"13,0";"13,0";"12,7";"949,2";"949,4";"949,2";"1,2";"77,0";"2,9";"";"0,0"
"01/07/2017";"0600";"15,4";"15,9";"15,4";"84,0";"85,0";"83,0";"12,8";"13,0";"12,8";"948,8";"949,2";"948,8";"1,4";"67,0";"2,7";"";"0,0"
"01/07/2017";"0700";"14,9";"15,4";"14,8";"87,0";"88,0";"84,0";"12,8";"12,9";"12,7";"948,6";"948,8";"948,6";"1,2";"61,0";"2,6";"";"0,0"
"01/07/2017";"0800";"14,7";"15,4";"14,7";"87,0";"87,0";"84,0";"12,5";"12,8";"12,4";"948,6";"948,7";"948,5";"1,6";"83,0";"2,3";"";"0,0"
"01/07/2017";"0900";"14,7";"14,9";"14,5";"86,0";"87,0";"86,0";"12,5";"12,7";"12,4";"948,8";"948,8";"948,5";"1,5";"61,0";"2,5";"";"0,0"
"01/07/2017";"1000";"14,3";"15,0";"14,1";"89,0";"89,0";"85,0";"12,6";"12,6";"12,3";"949,3";"949,3";"948,8";"1,0";"58,0";"2,5";"";"0,0"
"01/07/2017";"1100";"16,1";"16,1";"14,3";"85,0";"89,0";"85,0";"13,6";"13,6";"12,6";"950,1";"950,1";"949,3";"0,8";"54,0";"2,1";"104,80";"0,0"
"01/07/2017";"1200";"19,1";"19,1";"16,1";"71,0";"85,0";"71,0";"13,8";"14,2";"13,3";"951,1";"951,1";"950,1";"1,4";"10,0";"3,9";"754,50";"0,0"
"01/07/2017";"1300";"20,7";"20,9";"19,1";"67,0";"72,0";"65,0";"14,2";"14,5";"13,7";"951,4";"951,5";"951,1";"1,5";"345,0";"4,1";"1378,80";"0,0"
"01/07/2017";"1400";"21,5";"22,0";"20,4";"64,0";"68,0";"63,0";"14,4";"15,0";"13,9";"951,4";"951,6";"951,4";"2,5";"328,0";"5,1";"1909,40";"0,0"
"01/07/2017";"1500";"22,6";"22,9";"21,3";"64,0";"67,0";"61,0";"15,5";"15,8";"14,4";"951,0";"951,4";"951,0";"1,9";"332,0";"5,1";"1855,50";"0,0"
"01/07/2017";"1600";"24,1";"24,3";"22,6";"58,0";"64,0";"57,0";"15,3";"15,6";"14,6";"950,2";"951,0";"950,2";"1,4";"24,0";"4,5";"872,30";"0,0"
"01/07/2017";"1700";"24,7";"25,1";"23,7";"52,0";"58,0";"50,0";"14,2";"15,6";"13,9";"949,3";"950,2";"949,3";"1,2";"341,0";"4,2";"1333,70";"0,0"
"01/07/2017";"1800";"24,1";"25,5";"24,1";"58,0";"58,0";"52,0";"15,3";"15,5";"14,3";"949,0";"949,4";"949,0";"1,4";"350,0";"4,0";"545,00";"0,0"
"01/07/2017";"1900";"22,6";"24,5";"22,5";"65,0";"66,0";"53,0";"15,6";"16,0";"14,3";"949,2";"949,2";"949,0";"2,0";"323,0";"5,3";"294,00";"0,0"
"01/07/2017";"2000";"22,1";"23,0";"22,1";"68,0";"68,0";"62,0";"16,0";"16,3";"15,3";"949,4";"949,4";"949,1";"0,8";"344,0";"4,0";"118,00";"0,0"
"01/07/2017";"2100";"19,3";"22,1";"19,2";"81,0";"82,0";"68,0";"16,0";"16,4";"16,0";"949,8";"949,8";"949,3";"0,7";"7,0";"2,5";"34,90";"0,0"
"01/07/2017";"2200";"17,6";"19,4";"17,2";"87,0";"89,0";"81,0";"15,4";"16,0";"15,3";"950,0";"950,0";"949,8";"0,7";"339,0";"2,4";"";"0,0"
"01/07/2017";"2300";"17,1";"17,8";"17,1";"87,0";"87,0";"85,0";"15,0";"15,4";"14,9";"950,5";"950,5";"950,0";"1,0";"21,0";"3,8";"";"0,0"
"02/07/2017";"0000";"16,8";"17,5";"16,7";"87,0";"88,0";"85,0";"14,6";"15,0";"14,6";"950,9";"950,9";"950,5";"1,5";"32,0";"3,6";"";"0,0"
"02/07/2017";"0100";"16,1";"17,0";"15,9";"87,0";"88,0";"84,0";"13,8";"14,5";"13,8";"951,3";"951,3";"950,9";"1,4";"360,0";"5,0";"";"0,0"
"02/07/2017";"0200";"15,2";"16,2";"15,2";"87,0";"87,0";"85,0";"13,1";"13,8";"13,1";"951,5";"951,5";"951,3";"1,8";"354,0";"6,4";"";"0,0"
"02/07/2017";"0300";"14,6";"15,2";"14,6";"88,0";"88,0";"87,0";"12,6";"13,1";"12,6";"951,8";"951,9";"951,5";"2,3";"345,0";"7,2";"";"0,0"
"02/07/2017";"0400";"14,2";"14,6";"14,2";"89,0";"89,0";"88,0";"12,4";"12,6";"12,3";"951,8";"952,0";"951,8";"2,3";"356,0";"7,1";"";"0,0"
"02/07/2017";"0500";"13,9";"14,2";"13,9";"89,0";"89,0";"88,0";"12,0";"12,4";"12,0";"951,8";"951,9";"951,7";"2,2";"354,0";"6,6";"";"0,0"
"02/07/2017";"0600";"13,7";"13,9";"13,6";"87,0";"89,0";"87,0";"11,6";"12,0";"11,6";"951,5";"951,8";"951,5";"2,4";"356,0";"8,0";"";"0,0"
"02/07/2017";"0700";"13,5";"13,7";"13,5";"86,0";"87,0";"86,0";"11,3";"11,6";"11,3";"951,5";"951,6";"951,4";"2,2";"360,0";"8,0";"";"0,0"
"02/07/2017";"0800";"13,3";"13,6";"13,3";"85,0";"86,0";"85,0";"10,9";"11,3";"10,9";"951,4";"951,6";"951,4";"2,0";"357,0";"7,9";"";"0,0"
"02/07/2017";"0900";"13,0";"13,3";"13,0";"86,0";"86,0";"85,0";"10,6";"10,9";"10,6";"951,6";"951,6";"951,4";"1,7";"355,0";"7,0";"";"0,0"
"02/07/2017";"1000";"12,6";"13,0";"12,5";"87,0";"87,0";"85,0";"10,4";"10,6";"10,4";"951,9";"951,9";"951,6";"2,3";"11,0";"6,9";"";"0,0"
"02/07/2017";"1100";"13,4";"13,4";"12,5";"83,0";"87,0";"83,0";"10,5";"10,5";"10,2";"952,9";"952,9";"951,9";"2,5";"355,0";"7,9";"105,50";"0,0"
"02/07/2017";"1200";"14,5";"14,6";"13,4";"76,0";"83,0";"75,0";"10,3";"10,6";"10,3";"953,8";"953,8";"952,9";"3,3";"355,0";"9,1";"742,80";"0,0"
"02/07/2017";"1300";"16,9";"16,9";"14,5";"65,0";"76,0";"65,0";"10,3";"10,5";"9,9";"954,4";"954,4";"953,8";"3,3";"352,0";"10,0";"1427,00";"0,0"
"02/07/2017";"1400";"17,9";"18,2";"16,7";"59,0";"65,0";"58,0";"9,7";"10,3";"9,3";"954,6";"954,7";"954,3";"3,2";"349,0";"11,7";"1834,40";"0,0"
"02/07/2017";"1500";"19,0";"19,4";"17,3";"54,0";"61,0";"54,0";"9,6";"10,3";"9,4";"954,1";"954,6";"954,1";"2,9";"328,0";"10,4";"1582,70";"0,0"
"02/07/2017";"1600";"19,7";"20,1";"19,0";"51,0";"55,0";"50,0";"9,4";"10,1";"9,0";"953,7";"954,1";"953,7";"3,0";"338,0";"9,5";"1080,30";"0,0"
"02/07/2017";"1700";"20,2";"20,3";"19,4";"51,0";"54,0";"51,0";"9,7";"10,1";"9,3";"952,9";"953,7";"952,9";"3,3";"360,0";"10,1";"1380,60";"0,0"
"02/07/2017";"1800";"19,4";"20,3";"19,4";"52,0";"53,0";"49,0";"9,3";"10,0";"8,9";"952,5";"952,9";"952,5";"3,1";"348,0";"10,1";"324,80";"0,0"
