"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2023";"0000";"17,1";"18,4";"17,1";"89,0";"89,0";"77,0";"15,2";"15,2";"14,3";"949,5";"949,5";"949,1";"0,7";"157,0";"4,3";"";"0,0"
"01/07/2023";"0100";"16,8";"17,1";"16,6";"99,0";"99,0";"89,0";"16,6";"16,6";"15,2";"949,5";"949,6";"949,5";"1,4";"149,0";"3,5";"";"0,0"
"01/07/2023";"0200";"16,0";"16,8";"16,0";"";"";"";"";"";"";"949,7";"949,7";"949,5";"1,4";"145,0";"4,0";"";"0,0"
"01/07/2023";"0300";"15,9";"16,0";"15,5";"";"";"";"";"";"";"949,8";"949,8";"949,6";"0,9";"128,0";"3,1";"";"0,0"
"01/07/2023";"0400";"15,6";"16,0";"15,6";"";"";"";"";"";"";"949,4";"949,8";"949,4";"1,0";"119,0";"2,9";"";"0,0"
"01/07/2023";"0500";"15,4";"15,7";"15,4";"";"";"";"";"";"";"949,3";"949,5";"949,3";"1,2";"128,0";"3,8";"";"0,0"
"01/07/2023";"0600";"15,0";"15,4";"15,0";"";"";"";"";"";"";"948,7";"949,3";"948,7";"1,5";"116,0";"4,7";"";"0,0"
"01/07/2023";"0700";"14,4";"15,0";"14,4";"";"";"";"";"";"";"948,2";"948,7";"948,2";"1,6";"121,0";"4,3";"";"0,0"
"01/07/2023";"0800";"14,3";"14,4";"14,3";"";"";"";"";"";"";"947,6";"948,2";"947,6";"1,4";"111,0";"4,7";"";"0,0"
"01/07/2023";"0900";"13,9";"14,3";"13,9";"";"";"";"";"";"";"948,0";"948,0";"946,9";"1,0";"99,0";"4,1";"";"0,0"
"01/07/2023";"1000";"13,5";"13,9";"13,5";"";"";"";"";"";"";"948,4";"948,4";"948,0";"1,4";"103,0";"4,5";"";"0,0"
"01/07/2023";"1100";"13,4";"13,5";"13,2";"";"";"";"";"";"";"949,0";"949,0";"948,4";"1,3";"113,0";"3,8";"67,20";"0,0"
"01/07/2023";"1200";"14,0";"14,0";"13,4";"";"";"";"";"";"";"949,5";"949,5";"949,0";"1,5";"105,0";"4,2";"323,00";"0,0"
"01/07/2023";"1300";"15,4";"15,5";"14,0";"";"";"";"";"";"";"949,8";"949,9";"949,4";"2,2";"71,0";"4,1";"747,90";"0,0"
"01/07/2023";"1400";"20,0";"20,0";"15,3";"81,0";"";"";"16,7";"";"";"949,6";"949,9";"949,6";"1,0";"105,0";"4,1";"1678,20";"0,0"
"01/07/2023";"1500";"21,9";"22,1";"19,9";"65,0";"82,0";"65,0";"15,0";"16,8";"15,0";"948,9";"949,6";"948,9";"1,7";"51,0";"3,4";"1940,70";"0,0"
