"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2013";"0000";"19,7";"19,8";"19,6";"";"";"";"";"";"";"943,8";"944,0";"943,6";"1,1";"101,0";"4,8";"";"0,0"
"01/07/2013";"0100";"19,2";"19,7";"19,2";"";"";"";"";"";"";"943,6";"943,8";"943,3";"0,7";"121,0";"4,5";"";"0,0"
"01/07/2013";"0200";"18,9";"19,2";"18,9";"";"";"";"";"";"";"943,7";"943,7";"943,4";"1,1";"113,0";"4,0";"";"0,0"
"01/07/2013";"0300";"19,0";"19,1";"18,9";"";"";"";"";"";"";"944,0";"944,1";"943,7";"2,0";"102,0";"4,4";"";"0,0"
"01/07/2013";"0400";"19,1";"19,1";"19,0";"";"";"";"";"";"";"944,2";"944,2";"944,0";"1,6";"119,0";"4,9";"";"0,0"
"01/07/2013";"0500";"18,7";"19,1";"18,7";"";"";"";"";"";"";"944,3";"944,3";"944,1";"1,5";"112,0";"6,2";"";"0,0"
"01/07/2013";"0600";"17,7";"18,7";"17,7";"";"";"";"";"";"";"944,8";"944,8";"944,2";"2,6";"195,0";"5,6";"";"0,0"
"01/07/2013";"0700";"16,4";"17,7";"16,4";"";"";"";"";"";"";"944,4";"944,8";"944,4";"1,5";"175,0";"6,9";"";"0,0"
"01/07/2013";"0800";"16,3";"16,4";"16,3";"";"";"";"";"";"";"944,5";"944,7";"944,4";"0,6";"118,0";"5,4";"";"1,8"
"01/07/2013";"0900";"16,3";"16,5";"16,3";"";"";"";"";"";"";"944,2";"944,6";"943,9";"1,9";"94,0";"5,3";"";"0,2"
"01/07/2013";"1000";"16,3";"16,4";"16,3";"";"";"";"";"";"";"944,5";"944,7";"944,2";"1,9";"96,0";"5,3";"";"0,0"
"01/07/2013";"1100";"16,4";"16,5";"16,3";"";"";"";"";"";"";"945,1";"945,1";"944,5";"1,8";"95,0";"4,9";"99,80";"0,0"
"01/07/2013";"1200";"17,2";"17,2";"16,4";"";"";"";"";"";"";"945,8";"945,8";"945,1";"1,2";"121,0";"4,6";"347,20";"0,0"
"01/07/2013";"1300";"17,2";"17,3";"17,0";"";"";"";"";"";"";"945,6";"946,3";"945,6";"1,7";"111,0";"4,9";"297,40";"0,4"
"01/07/2013";"1400";"17,7";"17,7";"17,2";"";"";"";"";"";"";"945,6";"946,0";"945,5";"0,9";"125,0";"5,8";"472,30";"0,0"
