"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2006";"0000";"15,9";"17,2";"15,9";"74,0";"74,0";"68,0";"11,2";"11,3";"11,1";"949,5";"949,6";"949,0";"0,0";"150,0";"0,0";"";"0,0"
"01/07/2006";"0100";"15,8";"16,0";"15,6";"76,0";"76,0";"74,0";"11,5";"11,6";"11,2";"949,8";"949,8";"949,5";"0,0";"142,0";"1,4";"";"0,0"
"01/07/2006";"0200";"15,9";"16,2";"15,8";"73,0";"76,0";"73,0";"11,1";"11,5";"11,1";"950,2";"950,2";"949,8";"0,0";"134,0";"0,7";"";"0,0"
"01/07/2006";"0300";"15,5";"16,1";"15,5";"75,0";"75,0";"72,0";"11,1";"11,1";"11,0";"950,4";"950,5";"950,2";"0,0";"116,0";"0,0";"";"0,0"
"01/07/2006";"0400";"14,8";"15,5";"14,8";"82,0";"82,0";"75,0";"11,8";"11,8";"11,0";"950,3";"950,6";"950,3";"0,0";"124,0";"1,0";"";"0,0"
"01/07/2006";"0500";"14,0";"14,8";"14,0";"87,0";"87,0";"82,0";"11,9";"11,9";"11,8";"949,8";"950,3";"949,8";"0,0";"122,0";"1,0";"";"0,0"
"01/07/2006";"0600";"13,7";"14,0";"13,7";"89,0";"89,0";"87,0";"12,0";"12,0";"11,9";"949,1";"949,8";"949,1";"0,0";"127,0";"0,0";"";"0,0"
"01/07/2006";"0700";"13,4";"13,7";"13,4";"91,0";"91,0";"89,0";"12,0";"12,1";"11,9";"949,1";"949,1";"949,0";"0,0";"122,0";"0,0";"";"0,0"
"01/07/2006";"0800";"13,3";"13,5";"13,2";"92,0";"92,0";"91,0";"12,0";"12,1";"11,9";"949,1";"949,3";"948,9";"0,0";"118,0";"0,0";"";"0,0"
"01/07/2006";"0900";"13,3";"13,4";"13,2";"92,0";"92,0";"92,0";"12,0";"12,0";"12,0";"949,4";"949,4";"949,1";"0,0";"119,0";"0,0";"";"0,0"
"01/07/2006";"1000";"13,2";"13,3";"13,1";"93,0";"93,0";"92,0";"12,0";"12,0";"11,9";"950,0";"950,0";"949,4";"0,0";"118,0";"0,0";"";"0,0"
"01/07/2006";"1100";"14,0";"14,0";"13,2";"90,0";"93,0";"90,0";"12,4";"12,4";"12,0";"950,9";"950,9";"950,0";"0,0";"143,0";"0,0";"88,20";"0,0"
"01/07/2006";"1200";"14,6";"14,6";"13,9";"87,0";"90,0";"87,0";"12,5";"12,6";"12,4";"951,7";"951,7";"950,9";"0,0";"136,0";"0,0";"190,20";"0,0"
"01/07/2006";"1300";"15,3";"15,4";"14,6";"87,0";"87,0";"85,0";"13,1";"13,1";"12,6";"951,9";"952,1";"951,7";"0,0";"112,0";"0,0";"335,60";"0,0"
"01/07/2006";"1400";"16,9";"16,9";"15,3";"82,0";"87,0";"81,0";"13,8";"13,8";"13,1";"951,9";"952,0";"951,8";"0,0";"104,0";"0,0";"526,00";"0,0"
"01/07/2006";"1500";"20,4";"20,4";"16,9";"66,0";"82,0";"66,0";"13,8";"14,0";"13,4";"950,9";"951,9";"950,9";"0,0";"106,0";"0,0";"1254,50";"0,0"
"01/07/2006";"1600";"22,1";"22,2";"20,1";"58,0";"67,0";"58,0";"13,5";"13,7";"13,1";"949,6";"950,9";"949,6";"0,0";"73,0";"0,0";"1889,00";"0,0"
"01/07/2006";"1700";"23,2";"23,2";"22,1";"54,0";"58,0";"53,0";"13,3";"13,6";"12,9";"948,8";"949,7";"948,8";"0,0";"68,0";"3,3";"2167,00";"0,0"
"01/07/2006";"1800";"22,9";"23,3";"22,7";"52,0";"54,0";"51,0";"12,5";"13,3";"12,3";"948,4";"948,8";"948,3";"0,0";"54,0";"3,2";"1083,00";"0,0"
